Order,Level,Code,Parent,Description,Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas,"Décisions de classement (""rulings"")",Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas
508198,1,A,,"PRODUITS DE L’AGRICULTURE, DE LA SYLVICULTURE ET DE LA PÊCHE",,,,,,,
508199,2,1,A,Produits de l’agriculture et de la chasse et services annexes,,,,,,,
508200,3,01.1,1,Cultures non permanentes,,,,,,,
508201,4,01.11,01.1,"Céréales (à l’exclusion du riz), légumineuses et oléagineux","Cette classe comprend:
- les céréales, les légumineuses et les graines oléagineuses cultivées à des fins alimentaires et autres",,,,"This class includes:
- cereals, leguminous crops and oil seeds grown for food and other purposes",,
508202,5,01.11.1,01.11,Blé,,,,,,,
508203,6,01.11.11,01.11.1,Blé dur,,,,,,,
508204,6,01.11.12,01.11.1,"Blé, à l’exclusion du blé dur",,,,,,,
508205,5,01.11.2,01.11,Maïs,,,,,,,
508206,6,01.11.20,01.11.2,Maïs,,,"Cette sous-catégorie ne comprend pas:
- le maïs fourrager, voir 01.19.10",,,,"This subcategory excludes: 
- fodder maize, see 01.19.10"
508207,5,01.11.3,01.11,"Orge, seigle et avoine",,,,,,,
508208,6,01.11.31,01.11.3,Orge,,,,,,,
508209,6,01.11.32,01.11.3,Seigle,,,,,,,
508210,6,01.11.33,01.11.3,Avoine,,,,,,,
508211,5,01.11.4,01.11,"Sorgho, millet et autres céréales",,,,,,,
508212,6,01.11.41,01.11.4,Sorgho,,,,,,,
508213,6,01.11.42,01.11.4,Millet,,,,,,,
508214,6,01.11.49,01.11.4,Autres céréales,,,,,,,
508215,5,01.11.5,01.11,Paille et balles de céréales,,,,,,,
508216,6,01.11.50,01.11.5,Paille et balles de céréales,,,,,,,
508217,5,01.11.6,01.11,"Légumes à cosse, verts",,,,,,,
508218,6,01.11.61,01.11.6,"Haricots, verts",,,,,,,
508219,6,01.11.62,01.11.6,"Pois, verts",,,,,,,
508220,6,01.11.69,01.11.6,"Autres légumes à cosse, verts",,,,,,,
508221,5,01.11.7,01.11,"Légumes à cosse, secs",,,,,,,
508222,6,01.11.71,01.11.7,"Haricots, secs",,,,,,,
508223,6,01.11.72,01.11.7,"Fèves, sèches",,,,,,,
